component,encoded_id,category,label,score_Utama,score_Madya,score_Muda,score_Pertama,level_eligibility,doctoral_excluded
OP,op47,Produk Riset Lainnya,Metode/perangkat deteksi penyakit dan alat kesehatan,20,20,20,20,Utama/Madya/Muda/Pertama,
OP,op48,Produk Riset Lainnya,Antigen/Antibodi/Produk Inovasi diagnostik,20,20,20,20,Utama/Madya/Muda/Pertama,
OP,op49,Proposal,Proposal Riset,2.5,2.5,2.5,2.5,Utama/Madya/Muda/Pertama,
OP,op50,Legal Opinion,Dokumen Analisis Pendapat Hukum,2,3,4,5,Utama/Madya/Muda/Pertama,
OP,op51,Keantarik saan,Filling Spektrum Frekuensi operasi satelit,5,10,15,15,Utama/Madya/Muda/Pertama,
OP,op52,Keantarik saan,Operasi In-Orbit Test fase Launch and Early Orbit Phase (LEOP),5,10,15,15,Utama/Madya/Muda/Pertama,
OP,op53,Keantarik saan,Operasi misi satelit Jumlah,5,10,15,15,Utama/Madya/Muda/Pertama,
OP,op54,Keantarik saan,Operasi misi peluncuran roket dan pemanduan satelit menuju orbit,5,10,15,15,Utama/Madya/Muda/Pertama,
OP,op55,Keantarik saan,Analisis data kesehatan satelit dan misi operasi ( Mission Operation and Healt Analysis ),40,40,40,40,Utama/Madya/Muda/Pertama,
OP,op56,Keantarik saan,"Dokumen hasil desain, pengujian, observasi, dan pengukuran parameter subsistem atau sistem satelit",40,40,40,40,Utama/Madya/Muda/Pertama,
OP,op57,Keantarik saan,"Dokumen hasil pengujian, observasi, dan pengukuran parameter subsistem atau sistem satelit sebelum dan sesudah pengiraman satelit ke lokasi peluncuran",5,10,15,15,Utama/Madya/Muda/Pertama,
OP,op58,Prioritas Nasional,Dokumen Riset Kompleksitas Sangat Tinggi,40,40,40,40,Utama/Madya/Muda/Pertama,
OP,op59,Prioritas Nasional,Dokumen Riset Kompleksitas Tinggi,20,20,20,20,Utama/Madya/Muda/Pertama,
OP,op60,Prioritas Nasional,Dokumen Riset Kompleksitas Sedang,15,15,15,15,Utama/Madya/Muda/Pertama,
OP,op61,Prioritas Nasional,Dokumen Riset Kompleksitas Sederhana,10,10,10,10,Utama/Madya/Muda/Pertama,
PK,pk01,Penghargaan sebagai Periset Unggul,Penghargaan yang diberikan di bidang dan Teknologi oleh Lembaga Internasional,25,30,35,40,Utama/Madya/Muda/Pertama,
